"Stkcd","Date","Month","BM_Raw_lag","BM_Adj_lag","Delta_BM_lag","K_to_ME_lag","BM_Raw_june","BM_Adj_june","Delta_BM_june","K_to_ME_june","same_BM_Raw","same_BM_Adj","same_Delta_BM","same_K_to_ME","diff_BM_Raw","diff_BM_Adj","diff_Delta_BM","diff_K_to_ME"
"000033",2013-11-01,11,0.185598192043981,0.208766062765458,0.0231678707214764,0.0231678707214764,0.245414476016469,0.276049100152145,0.0306346241356763,0.0306346241356763,FALSE,FALSE,FALSE,FALSE,0.0598162839724876,0.0672830373866874,0.00746675341419983,0.00746675341419985
"000033",2013-12-01,12,0.187736419733872,0.211171201367286,0.0234347816334143,0.0234347816334143,0.245414476016469,0.276049100152145,0.0306346241356763,0.0306346241356763,FALSE,FALSE,FALSE,FALSE,0.0576780562825968,0.0648778987848588,0.00719984250226202,0.00719984250226202
"000033",2014-01-01,1,0.211081882196167,0.237430833683841,0.0263489514876733,0.0263489514876733,0.245414476016469,0.276049100152145,0.0306346241356763,0.0306346241356763,FALSE,FALSE,FALSE,FALSE,0.0343325938203012,0.0386182664683042,0.004285672648003,0.00428567264800301
"000033",2014-02-01,2,0.200190679479579,0.225180102764092,0.0249894232845131,0.0249894232845132,0.245414476016469,0.276049100152145,0.0306346241356763,0.0306346241356763,FALSE,FALSE,FALSE,FALSE,0.0452237965368899,0.0508689973880531,0.00564520085116313,0.00564520085116313
"000033",2014-03-01,3,0.161341794966198,0.18148178559101,0.020139990624812,0.020139990624812,0.245414476016469,0.276049100152145,0.0306346241356763,0.0306346241356763,FALSE,FALSE,FALSE,FALSE,0.0840726810502703,0.0945673145611345,0.0104946335108642,0.0104946335108643
"000033",2014-04-01,4,0.172988547981227,0.194582380721663,0.0215938327404357,0.0215938327404357,0.245414476016469,0.276049100152145,0.0306346241356763,0.0306346241356763,FALSE,FALSE,FALSE,FALSE,0.0724259280352415,0.0814667194304821,0.00904079139524055,0.00904079139524057
"000033",2014-05-01,5,0.180659880462701,0.203211311104468,0.0225514306417673,0.0225514306417673,0.245414476016469,0.276049100152145,0.0306346241356763,0.0306346241356763,FALSE,FALSE,FALSE,FALSE,0.0647545955537678,0.0728377890476768,0.00808319349390901,0.00808319349390902
"000033",2014-06-01,6,0.194922503053361,0.219254309854457,0.024331806801096,0.0243318068010961,0.245414476016469,0.276049100152145,0.0306346241356763,0.0306346241356763,FALSE,FALSE,FALSE,FALSE,0.0504919729631074,0.0567947902976876,0.00630281733458024,0.00630281733458023
"000033",2015-04-01,4,0.165402705915972,0.187643200959844,0.0222404950438722,0.0222404950438722,0.178649243141582,0.202670903396042,0.0240216602544602,0.0240216602544602,FALSE,FALSE,FALSE,FALSE,0.0132465372256101,0.0150277024361981,0.00178116521058799,0.00178116521058802
"000034",2011-07-01,7,0.0371332349722171,0.0556297525621105,0.00750154708570612,0.00750154708570612,0.0367817709124668,0.056059800089547,0.00750154708570612,0.00750154708570612,FALSE,FALSE,TRUE,TRUE,-0.000351464059750221,0.000430047527436445,0,0
